,year,ISO_code,countries,region,hf_score,hf_rank,hf_quartile,pf_rol_procedural,pf_rol_civil,pf_rol_criminal,pf_rol,pf_ss_homicide,pf_ss_disappearances_disap,pf_ss_disappearances_violent,pf_ss_disappearances_organized,pf_ss_disappearances_fatalities,pf_ss_disappearances_injuries,pf_ss_disappearances,pf_ss_women_fgm,pf_ss_women_inheritance,pf_ss_women,pf_ss,pf_movement_domestic,pf_movement_foreign,pf_movement_women,pf_movement,pf_religion_freedom,pf_religion_repression,pf_religion_harassment,pf_religion_restrictions,pf_religion,pf_association_entry,pf_association_assembly,pf_association_barries,pf_association_bans,pf_association_estopparties,pf_association_opposition,pf_association_civilrepression,pf_association,pf_expression_killed,pf_expression_jailed,pf_expression_media,pf_expression_cable,pf_expression_newspapers,pf_expression_control,pf_expression,pf_identity_legal,pf_identity_sex_male,pf_identity_sex_female,pf_identity_sex,pf_identity_divorce,pf_identity,pf_score,pf_rank,ef_government_consumption,ef_government_transfers,ef_government_enterprises,ef_government_tax_income,ef_government_tax_payroll,ef_government_tax,ef_government_soa,ef_government,ef_legal_judicial,ef_legal_courts,ef_legal_protection,ef_legal_military,ef_legal_integrity,ef_legal_enforcement,ef_legal_regulatory,ef_legal_police,ef_legal_gender,ef_legal,ef_money_growth,ef_money_sd,ef_money_inflation,ef_money_currency,ef_money,ef_trade_tariffs_revenue,ef_trade_tariffs_mean,ef_trade_tariffs_sd,ef_trade_tariffs,ef_trade_regulatory_nontariff,ef_trade_regulatory_compliance,ef_trade_regulatory,ef_trade_black,ef_trade_movement_foreign,ef_trade_movement_capital,ef_trade_movement_visit,ef_trade_movement,ef_trade,ef_regulation_credit_ownership,ef_regulation_credit_private,ef_regulation_credit_interest,ef_regulation_credit,ef_regulation_labor_minwage,ef_regulation_labor_firing,ef_regulation_labor_bargain,ef_regulation_labor_hours,ef_regulation_labor_dismissal,ef_regulation_labor_conscription,ef_regulation_labor,ef_regulation_business_adm,ef_regulation_business_bureaucracy,ef_regulation_business_start,ef_regulation_business_bribes,ef_regulation_business_licensing,ef_regulation_business_compliance,ef_regulation_business,ef_regulation,ef_score,ef_rank,womens_freedom
0,2018,ALB,Albania,Eastern Europe,7.81,43.0,2.0,6.0,4.8,4.3,5.0,9.1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.5,8.8,9.3,10.0,10.0,10.0,10.0,9.0,9.0,9.6,8.0,8.9,8.8,10.0,7.8,8.2,8.0,7.8,8.2,8.6,10.0,10.0,5.0,10.0,10.0,10.0,9.2,0.0,10.0,10.0,10.0,7.5,5.8,7.81,49.0,8.2,6.7,8.0,9.0,7.0,8.0,9.5,8.1,3.6,3.7,4.9,8.3,5.7,3.9,6.7,5.6,1.0,5.2,10.0,9.7,9.6,10.0,9.8,9.7,9.3,8.1,9.0,6.8,9.4,8.1,10.0,4.2,4.6,8.3,5.7,8.2,10.0,9.2,10.0,9.7,5.6,4.9,5.6,8.0,6.3,10.0,6.7,5.7,6.7,9.7,5.4,5.6,7.2,6.7,7.7,7.8,26.0,9.26
1,2017,ALB,Albania,Eastern Europe,7.78,44.0,2.0,6.3,4.4,4.7,5.3,9.1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.5,8.8,9.3,10.0,10.0,10.0,10.0,8.2,9.0,9.6,8.0,8.7,7.9,10.0,8.0,8.2,8.1,7.9,8.3,8.4,10.0,10.0,5.0,10.0,10.0,10.0,9.2,0.0,10.0,10.0,10.0,7.5,5.8,7.86,47.0,8.1,6.7,8.0,9.0,7.0,8.0,6.2,7.4,3.8,3.9,5.1,8.3,5.5,4.4,6.6,6.8,1.0,5.4,9.2,9.7,9.6,10.0,9.6,9.6,9.3,8.1,9.0,6.0,9.4,7.7,10.0,4.2,5.4,8.3,5.9,8.2,10.0,9.1,10.0,9.7,5.6,5.4,6.4,8.0,6.3,10.0,6.9,6.3,6.7,9.7,6.0,6.0,7.2,7.0,7.9,7.7,36.0,9.26
2,2016,ALB,Albania,Eastern Europe,7.63,50.0,2.0,6.7,4.5,4.7,5.3,8.6,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,7.5,8.7,10.0,10.0,5.0,8.3,9.0,8.9,9.6,8.0,8.9,7.9,10.0,8.0,8.2,8.1,8.0,8.3,8.5,10.0,10.0,5.1,10.0,10.0,10.0,9.2,0.0,10.0,10.0,10.0,7.5,5.8,7.57,60.0,8.2,6.7,8.4,9.0,7.0,8.0,7.8,7.8,4.0,3.9,5.1,8.3,5.6,4.4,6.5,6.9,0.9,5.5,9.0,9.5,9.7,10.0,9.6,9.6,9.2,8.0,9.0,5.6,9.4,7.5,10.0,4.2,4.6,8.3,5.7,8.0,10.0,7.3,9.0,8.8,5.6,5.4,6.2,8.0,6.3,10.0,6.9,6.1,6.0,9.7,6.0,7.3,7.1,7.0,7.6,7.69,36.0,7.5
3,2015,ALB,Albania,Eastern Europe,7.55,52.0,2.0,6.7,4.5,4.7,5.2,8.9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,7.5,8.8,5.0,10.0,5.0,6.7,9.0,8.9,9.2,8.5,8.9,7.9,10.0,8.0,8.2,8.1,8.0,8.3,8.5,10.0,10.0,5.3,10.0,10.0,10.0,9.2,0.0,10.0,10.0,10.0,7.5,5.8,7.4,68.0,8.2,7.0,8.1,9.0,7.0,8.0,7.8,7.8,4.0,3.9,4.9,8.3,5.6,4.4,6.4,6.7,0.9,5.4,9.3,9.4,9.6,10.0,9.6,9.3,9.2,8.0,8.9,5.4,9.4,7.4,10.0,4.2,4.6,8.3,5.7,8.0,10.0,7.6,10.0,9.2,5.6,5.0,6.1,8.0,6.3,10.0,6.8,6.1,6.0,9.7,6.0,7.3,7.1,7.0,7.7,7.7,34.0,7.5
4,2014,ALB,Albania,Eastern Europe,7.65,48.0,2.0,6.1,4.8,4.6,5.0,8.4,10.0,10.0,10.0,9.9,9.9,9.9,10.0,5.0,7.5,8.6,5.0,10.0,5.0,6.7,9.0,8.9,9.7,9.9,9.4,7.9,10.0,8.0,8.2,8.1,8.0,8.3,8.5,10.0,10.0,5.4,10.0,10.0,10.0,9.2,,10.0,10.0,10.0,7.5,8.8,7.64,57.0,8.1,6.9,7.6,9.0,7.0,8.0,7.8,7.7,4.0,3.9,4.5,8.3,5.6,4.4,6.2,4.5,0.9,5.1,9.4,9.4,9.7,10.0,9.6,9.4,9.2,8.0,8.9,6.3,9.2,7.7,10.0,4.2,4.6,8.3,5.7,8.1,10.0,8.0,10.0,9.3,5.6,6.1,7.2,8.0,6.3,10.0,7.2,5.9,6.0,9.7,6.0,7.2,6.0,6.8,7.8,7.65,37.0,7.5
5,2013,ALB,Albania,Eastern Europe,7.52,54.0,2.0,5.6,5.0,4.3,4.5,8.3,10.0,10.0,10.0,9.9,10.0,10.0,10.0,5.0,7.5,8.6,5.0,10.0,5.0,6.7,9.0,8.9,9.7,8.9,9.1,7.9,10.0,8.0,8.2,8.1,8.0,8.3,8.5,10.0,10.0,5.4,10.0,10.0,10.0,9.2,,10.0,10.0,10.0,7.5,8.8,7.49,61.0,8.2,7.1,8.1,10.0,7.0,8.5,7.8,7.9,3.9,3.9,4.3,8.3,5.5,4.4,6.3,4.5,0.9,5.0,9.7,9.5,9.6,10.0,9.7,9.6,9.2,8.0,9.0,4.5,7.4,6.0,10.0,4.2,4.6,8.3,5.7,7.7,10.0,7.0,10.0,9.0,5.6,4.8,5.2,8.0,6.3,10.0,6.6,4.9,6.0,9.8,6.0,7.2,6.0,6.7,7.4,7.55,42.0,7.5
6,2012,ALB,Albania,Eastern Europe,7.54,53.0,2.0,5.0,5.0,3.6,4.5,7.8,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.5,8.8,8.9,5.0,10.0,5.0,6.7,9.3,9.0,10.0,9.2,9.4,8.7,10.0,8.5,8.2,8.4,8.9,8.1,8.8,10.0,10.0,5.4,10.0,10.0,10.0,9.2,,10.0,10.0,10.0,7.5,8.8,7.62,59.0,8.1,7.3,8.7,10.0,7.0,8.5,8.2,8.2,3.6,3.8,4.3,8.3,5.3,4.3,5.7,4.5,1.0,4.9,9.4,9.8,9.6,10.0,9.7,9.6,9.2,8.0,9.0,5.1,7.4,6.3,10.0,4.2,4.6,0.0,2.9,7.0,10.0,8.0,10.0,9.3,5.6,5.7,5.5,8.0,6.3,10.0,6.8,4.8,6.0,9.6,5.2,,6.0,6.3,7.5,7.46,46.0,8.26
7,2011,ALB,Albania,Eastern Europe,7.63,50.0,2.0,5.7,5.1,4.1,4.9,8.1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.5,8.8,8.9,10.0,5.0,5.0,6.7,9.3,9.0,10.0,8.7,9.2,8.3,10.0,8.5,8.2,8.4,8.9,9.3,9.0,10.0,10.0,5.1,10.0,10.0,10.0,9.2,,10.0,10.0,10.0,7.5,8.8,7.74,58.0,8.1,7.2,8.3,10.0,7.0,8.5,8.2,8.1,3.7,4.1,4.6,8.3,5.3,5.4,5.6,5.1,1.0,5.1,10.0,9.8,9.3,10.0,9.8,8.6,9.0,7.8,8.5,5.8,7.4,6.6,10.0,4.2,4.6,0.0,2.9,7.0,10.0,8.1,10.0,9.4,5.6,6.1,6.2,8.0,6.3,10.0,7.0,5.2,6.5,9.6,5.2,4.8,6.0,6.2,7.5,7.51,39.0,8.26
8,2010,ALB,Albania,Eastern Europe,7.75,45.0,2.0,5.7,5.1,4.1,4.9,8.3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.4,10.0,10.0,10.0,10.0,9.3,9.0,9.9,8.9,9.3,8.3,,8.5,8.2,8.4,8.9,9.3,8.7,10.0,10.0,5.2,,,,8.4,,10.0,10.0,10.0,7.5,8.8,8.09,49.0,8.1,7.4,8.3,10.0,7.0,8.5,8.2,8.1,3.9,4.3,4.8,8.3,5.3,5.4,5.5,5.9,1.0,5.3,9.9,9.8,9.3,10.0,9.7,8.6,9.0,7.8,8.5,6.3,7.4,6.9,10.0,4.2,4.6,0.0,2.9,7.1,5.0,6.1,10.0,7.0,5.6,6.1,6.9,8.0,6.3,10.0,7.1,5.7,6.5,9.5,5.2,4.8,5.8,6.3,6.8,7.4,49.0,10.0
9,2009,ALB,Albania,Eastern Europe,7.72,45.0,2.0,5.7,5.1,4.1,4.9,8.9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.6,10.0,10.0,10.0,10.0,9.3,9.0,10.0,9.6,9.5,8.3,,8.5,8.2,8.3,8.9,9.3,8.7,10.0,10.0,5.3,,,,8.4,,10.0,10.0,10.0,7.5,8.8,8.16,46.0,9.1,7.4,6.3,10.0,7.0,8.5,8.0,7.8,4.1,4.4,4.7,8.3,5.3,5.2,8.1,5.8,1.0,5.6,9.2,9.7,9.5,10.0,9.6,8.6,9.0,7.8,8.5,6.4,7.4,6.9,10.0,1.7,4.6,0.0,2.1,6.9,5.0,6.0,10.0,7.0,5.6,6.0,7.0,8.0,6.0,3.0,5.9,5.0,6.7,9.7,5.2,4.8,6.0,6.2,6.4,7.27,47.0,10.0
